"Level,Word,Meaning"
"最頻出(Rank A),I,私（は）"
"最頻出(Rank A),you,あなた（は）"
"最頻出(Rank A),he,彼（は）"
"最頻出(Rank A),she,彼女（は）"
"最頻出(Rank A),it,それ（は）"
"最頻出(Rank A),we,私たち（は）"
"最頻出(Rank A),they,彼ら・それら（は）"
"最頻出(Rank A),my,私の"
"最頻出(Rank A),your,あなたの"
"最頻出(Rank A),his,彼の"
"最頻出(Rank A),her,彼女の"
"最頻出(Rank A),our,私たちの"
"最頻出(Rank A),their,彼らの"
"最頻出(Rank A),me,私を（に）"
"最頻出(Rank A),us,私たちを（に）"
"最頻出(Rank A),him,彼を（に）"
"最頻出(Rank A),them,彼ら・それらを（に）"
"最頻出(Rank A),this,これ"
"最頻出(Rank A),that,あれ"
"最頻出(Rank A),these,これら"
"最頻出(Rank A),those,あれら"
"最頻出(Rank A),who,だれ"
"最頻出(Rank A),what,なに"
"最頻出(Rank A),which,どちら"
"最頻出(Rank A),where,どこ"
"最頻出(Rank A),when,いつ"
"最頻出(Rank A),why,なぜ"
"最頻出(Rank A),how,どのように・どれくらい"
"最頻出(Rank A),be,～である・いる"
"最頻出(Rank A),do,～する"
"最頻出(Rank A),have,持っている・食べる"
"最頻出(Rank A),go,行く"
"最頻出(Rank A),come,来る"
"最頻出(Rank A),get,手に入れる・着く"
"最頻出(Rank A),make,作る"
"最頻出(Rank A),take,連れていく・（時間を）かける・乗る"
"最頻出(Rank A),see,会う・見える"
"最頻出(Rank A),know,知っている"
"最頻出(Rank A),think,思う・考える"
"最頻出(Rank A),say,言う"
"最頻出(Rank A),tell,話す・教える"
"最頻出(Rank A),look,見る・～に見える"
"最頻出(Rank A),use,使う"
"最頻出(Rank A),want,欲しい"
"最頻出(Rank A),give,あげる"
"最頻出(Rank A),help,助ける"
"最頻出(Rank A),live,住む"
"最頻出(Rank A),study,勉強する"
"最頻出(Rank A),play,遊ぶ・演奏する"
"最頻出(Rank A),work,働く"
"最頻出(Rank A),buy,買う"
"最頻出(Rank A),read,読む"
"最頻出(Rank A),write,書く"
"最頻出(Rank A),eat,食べる"
"最頻出(Rank A),drink,飲む"
"最頻出(Rank A),sleep,眠る"
"最頻出(Rank A),speak,話す"
"最頻出(Rank A),listen,聞く"
"最頻出(Rank A),run,走る"
"最頻出(Rank A),walk,歩く"
"最頻出(Rank A),stop,止まる"
"最頻出(Rank A),open,開ける"
"最頻出(Rank A),close,閉める"
"最頻出(Rank A),start,始まる"
"最頻出(Rank A),finish,終わる"
"最頻出(Rank A),school,学校"
"最頻出(Rank A),class,授業・クラス"
"最頻出(Rank A),teacher,先生"
"最頻出(Rank A),student,生徒"
"最頻出(Rank A),friend,友達"
"最頻出(Rank A),homework,宿題"
"最頻出(Rank A),book,本"
"最頻出(Rank A),pen,ペン"
"最頻出(Rank A),desk,机"
"最頻出(Rank A),chair,椅子"
"最頻出(Rank A),room,部屋"
"最頻出(Rank A),door,ドア"
"最頻出(Rank A),window,窓"
"最頻出(Rank A),house,家"
"最頻出(Rank A),family,家族"
"最頻出(Rank A),father,父"
"最頻出(Rank A),mother,母"
"最頻出(Rank A),brother,兄弟"
"最頻出(Rank A),sister,姉妹"
"最頻出(Rank A),boy,男の子"
"最頻出(Rank A),girl,女の子"
"最頻出(Rank A),man,男の人"
"最頻出(Rank A),woman,女の人"
"最頻出(Rank A),child,子供"
"最頻出(Rank A),time,時間"
"最頻出(Rank A),day,日"
"最頻出(Rank A),week,週"
"最頻出(Rank A),month,月"
"最頻出(Rank A),year,年"
"最頻出(Rank A),today,今日"
"最頻出(Rank A),tomorrow,明日"
"最頻出(Rank A),yesterday,昨日"
"最頻出(Rank A),morning,朝"
"最頻出(Rank A),afternoon,午後"
"最頻出(Rank A),evening,晩"
"最頻出(Rank A),night,夜"
"最頻出(Rank A),sunday,日曜日"
"最頻出(Rank A),monday,月曜日"
"最頻出(Rank A),tuesday,火曜日"
"最頻出(Rank A),wednesday,水曜日"
"最頻出(Rank A),thursday,木曜日"
"最頻出(Rank A),friday,金曜日"
"最頻出(Rank A),saturday,土曜日"
"最頻出(Rank A),january,1月"
"最頻出(Rank A),february,2月"
"最頻出(Rank A),march,3月"
"最頻出(Rank A),april,4月"
"最頻出(Rank A),may,5月"
"最頻出(Rank A),june,6月"
"最頻出(Rank A),july,7月"
"最頻出(Rank A),august,8月"
"最頻出(Rank A),september,9月"
"最頻出(Rank A),october,10月"
"最頻出(Rank A),november,11月"
"最頻出(Rank A),december,12月"
"最頻出(Rank A),spring,春"
"最頻出(Rank A),summer,夏"
"最頻出(Rank A),fall,秋"
"最頻出(Rank A),winter,冬"
"最頻出(Rank A),one,1"
"最頻出(Rank A),two,2"
"最頻出(Rank A),three,3"
"最頻出(Rank A),four,4"
"最頻出(Rank A),five,5"
"最頻出(Rank A),six,6"
"最頻出(Rank A),seven,7"
"最頻出(Rank A),eight,8"
"最頻出(Rank A),nine,9"
"最頻出(Rank A),ten,10"
"最頻出(Rank A),eleven,11"
"最頻出(Rank A),twelve,12"
"最頻出(Rank A),thirteen,13"
"最頻出(Rank A),fourteen,14"
"最頻出(Rank A),fifteen,15"
"最頻出(Rank A),sixteen,16"
"最頻出(Rank A),seventeen,17"
